group	map	index	label	x	y	elevation	dest_group	dest_map	dest_warp
0	0	0	出入口1: (10,19) -> 组42 地图02 #0	10	19	0	42	2	0
0	0	1	出入口2: (6,5) -> 组42 地图00 #0	6	5	0	42	0	0
0	0	2	出入口3: (14,8) -> 组42 地图01 #0	14	8	0	42	1	0
0	0	3	出入口4: (21,16) -> 组42 地图04 #0	21	16	0	42	4	0
0	0	4	出入口5: (20,23) -> 组42 地图03 #0	20	23	0	42	3	0
0	0	5	出入口6: (26,13) -> 组42 地图06 #0	26	13	0	42	6	0
0	1	0	出入口1: (20,19) -> 组43 地图11 #0	20	19	0	43	11	0
0	1	1	出入口2: (14,26) -> 组43 地图13 #0	14	26	0	43	13	0
0	1	2	出入口3: (26,38) -> 组43 地图00 #0	26	38	0	43	0	0
0	1	3	出入口4: (10,12) -> 组43 地图02 #0	10	12	0	43	2	0
0	1	4	出入口5: (3,26) -> 组43 地图06 #0	3	26	0	43	6	0
0	1	5	出入口6: (30,27) -> 组43 地图07 #0	30	27	0	43	7	0
0	1	6	出入口7: (5,19) -> 组43 地图05 #0	5	19	0	43	5	0
0	1	7	出入口8: (31,27) -> 组43 地图07 #1	31	27	0	43	7	1
0	1	8	出入口9: (28,12) -> 组43 地图09 #0	28	12	0	43	9	0
0	1	9	出入口10: (40,7) -> 组43 地图09 #2	40	7	0	43	9	2
0	1	10	出入口11: (21,44) -> 组43 地图10 #0	21	44	0	43	10	0
0	2	0	出入口1: (10,5) -> 组44 地图00 #0	10	5	0	44	0	0
0	2	1	出入口2: (25,5) -> 组44 地图05 #0	25	5	0	44	5	0
0	2	2	出入口3: (37,5) -> 组44 地图01 #1	37	5	0	44	1	1
0	2	3	出入口4: (26,14) -> 组44 地图07 #1	26	14	0	44	7	1
0	2	4	出入口5: (34,14) -> 组44 地图02 #0	34	14	0	44	2	0
0	2	5	出入口6: (10,13) -> 组44 地图03 #0	10	13	0	44	3	0
0	2	6	出入口7: (21,14) -> 组44 地图04 #0	21	14	0	44	4	0
0	3	0	出入口1: (27,19) -> 组45 地图03 #0	27	19	0	45	3	0
0	3	1	出入口2: (13,31) -> 组45 地图08 #0	13	31	0	45	8	0
0	3	2	出入口3: (17,45) -> 组45 地图07 #0	17	45	0	45	7	0
0	3	3	出入口4: (17,38) -> 组45 地图05 #0	17	38	0	45	5	0
0	3	4	出入口5: (27,34) -> 组45 地图04 #0	27	34	0	45	4	0
0	3	5	出入口6: (10,12) -> 组45 地图00 #0	10	12	0	45	0	0
0	3	6	出入口7: (12,17) -> 组45 地图00 #1	12	17	0	45	0	1
0	3	7	出入口8: (32,19) -> 组45 地图10 #0	32	19	0	45	10	0
0	3	8	出入口9: (8,38) -> 组45 地图11 #0	8	38	0	45	11	0
0	3	9	出入口10: (29,28) -> 组45 地图12 #0	29	28	0	45	12	0
0	3	10	出入口11: (5,51) -> 组45 地图13 #0	5	51	0	45	13	0
0	3	11	出入口12: (26,46) -> 组45 地图16 #0	26	46	0	45	16	0
0	4	0	出入口1: (6,6) -> 组46 地图02 #0	6	6	0	46	2	0
0	4	1	出入口2: (10,3) -> 组46 地图00 #0	10	3	0	46	0	0
0	4	2	出入口3: (22,11) -> 组46 地图01 #0	22	11	0	46	1	0
0	4	3	出入口4: (4,14) -> 组46 地图04 #0	4	14	0	46	4	0
0	4	4	出入口5: (17,3) -> 组46 地图05 #0	17	3	0	46	5	0
0	4	5	出入口6: (25,3) -> 组46 地图06 #0	25	3	0	46	6	0
0	4	6	出入口7: (32,2) -> 组46 地图07 #0	32	2	0	46	7	0
0	4	7	出入口8: (12,13) -> 组46 地图08 #0	12	13	0	46	8	0
0	4	8	出入口9: (37,13) -> 组46 地图09 #0	37	13	0	46	9	0
0	5	0	出入口1: (27,6) -> 组47 地图16 #0	27	6	0	47	16	0
