group	map	index	label	x	y	elevation	dest_group	dest_map	dest_warp
0	0	0	出入口1: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	0	1	出入口2: (7,8) -> 组127 地图127 #127	7	8	3	127	127	127
0	1	0	出入口1: (5,8) -> 组127 地图127 #127	5	8	3	127	127	127
0	1	1	出入口2: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	2	0	出入口1: (8,9) -> 组127 地图127 #127	8	9	3	127	127	127
0	2	1	出入口2: (9,9) -> 组127 地图127 #127	9	9	3	127	127	127
0	2	2	出入口3: (11,9) -> 组127 地图127 #127	11	9	3	127	127	127
0	2	3	出入口4: (10,9) -> 组127 地图127 #127	10	9	3	127	127	127
0	3	0	出入口1: (5,8) -> 组127 地图127 #127	5	8	3	127	127	127
0	3	1	出入口2: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	3	2	出入口3: (7,8) -> 组127 地图127 #127	7	8	3	127	127	127
0	3	3	出入口4: (8,8) -> 组127 地图127 #127	8	8	3	127	127	127
0	4	0	出入口1: (7,11) -> 组127 地图127 #127	7	11	3	127	127	127
1	0	0	出入口1: (36,51) -> 组03 地图00 #0	36	51	3	3	0	0
1	0	1	出入口2: (31,31) -> 组01 地图41 #0	31	31	3	1	41	0
1	0	2	出入口3: (32,31) -> 组01 地图41 #1	32	31	3	1	41	1
1	0	3	出入口4: (33,31) -> 组01 地图41 #2	33	31	3	1	41	2
1	0	4	出入口5: (34,31) -> 组01 地图41 #3	34	31	3	1	41	3
1	0	5	出入口6: (11,15) -> 组01 地图41 #4	11	15	3	1	41	4
1	0	6	出入口7: (12,15) -> 组01 地图41 #5	12	15	3	1	41	5
1	0	7	出入口8: (13,15) -> 组01 地图41 #6	13	15	3	1	41	6
1	0	8	出入口9: (14,15) -> 组01 地图41 #7	14	15	3	1	41	7
1	0	9	出入口10: (11,35) -> 组01 地图41 #8	11	35	3	1	41	8
1	0	10	出入口11: (12,35) -> 组01 地图41 #9	12	35	3	1	41	9
1	0	11	出入口12: (13,35) -> 组01 地图41 #10	13	35	3	1	41	10
1	0	12	出入口13: (14,35) -> 组01 地图41 #11	14	35	3	1	41	11
1	0	13	出入口14: (13,9) -> 组00 地图00 #0	13	9	0	0	0	0
1	1	0	出入口1: (6,30) -> 组03 地图03 #6	6	30	3	3	3	6
1	1	1	出入口2: (9,19) -> 组01 地图29 #0	9	19	3	1	29	0
1	1	2	出入口3: (29,18) -> 组01 地图02 #2	29	18	3	1	2	2
1	1	3	出入口4: (24,6) -> 组01 地图02 #0	24	6	3	1	2	0
1	1	4	出入口5: (20,35) -> 组01 地图03 #0	20	35	0	1	3	0
1	2	0	出入口1: (29,6) -> 组01 地图01 #3	29	6	3	1	1	3
1	2	1	出入口2: (25,4) -> 组01 地图01 #1	25	4	3	1	1	1
1	2	2	出入口3: (37,15) -> 组01 地图01 #2	37	15	3	1	1	2
1	2	3	出入口4: (10,6) -> 组01 地图03 #0	10	6	3	1	3	0
1	2	4	出入口5: (17,5) -> 组01 地图03 #1	17	5	3	1	3	1
1	2	5	出入口6: (26,36) -> 组01 地图03 #2	26	36	3	1	3	2
1	2	6	出入口7: (39,4) -> 组01 地图03 #3	39	4	3	1	3	3
1	2	7	出入口8: (45,4) -> 组03 地图22 #1	45	4	3	3	22	1
1	3	0	出入口1: (5,28) -> 组01 地图01 #4	5	28	3	1	1	4
1	3	1	出入口2: (14,25) -> 组03 地图03 #7	14	25	3	3	3	7
1	3	2	出入口3: (14,34) -> 组01 地图03 #3	14	34	3	1	3	3
1	3	3	出入口4: (34,19) -> 组01 地图03 #2	34	19	3	1	3	2
1	3	4	出入口5: (34,11) -> 组01 地图08 #2	34	11	0	1	8	2
1	4	0	出入口1: (7,11) -> 组03 地图03 #8	7	11	0	3	3	8
1	4	1	出入口2: (53,8) -> 组03 地图04 #0	53	8	3	3	4	0
1	4	2	出入口3: (32,14) -> 组01 地图05 #2	32	14	3	1	5	2
1	4	3	出入口4: (33,15) -> 组01 地图05 #3	33	15	0	1	5	3
1	4	4	出入口5: (33,5) -> 组03 地图05 #2	33	5	0	3	5	2
1	5	0	出入口1: (6,4) -> 组00 地图00 #0	6	4	0	0	0	0
1	6	0	出入口1: (7,11) -> 组03 地图03 #8	7	11	3	3	3	8
1	6	1	出入口2: (53,8) -> 组03 地图04 #0	53	8	3	3	4	0
1	7	0	出入口1: (15,16) -> 组04 地图03 #3	15	16	3	4	3	3
1	7	1	出入口2: (18,2) -> 组01 地图06 #1	18	2	3	1	6	1
1	7	2	出入口3: (0,5) -> 组01 地图09 #0	0	5	0	1	9	0
1	8	0	出入口1: (31,12) -> 组03 地图04 #4	31	12	3	3	4	4
1	8	1	出入口2: (23,12) -> 组01 地图09 #0	23	12	0	1	9	0
1	8	2	出入口3: (4,23) -> 组01 地图03 #4	4	23	0	1	3	4
1	8	3	出入口4: (22,28) -> 组01 地图09 #1	22	28	0	1	9	1
1	8	4	出入口5: (14,2) -> 组01 地图27 #0	14	2	0	1	27	0
1	8	5	出入口6: (18,2) -> 组01 地图28 #0	18	2	0	1	28	0
1	9	0	出入口1: (30,10) -> 组01 地图08 #1	30	10	3	1	8	1
1	9	1	出入口2: (23,2) -> 组01 地图08 #3	23	2	3	1	8	3
1	9	2	出入口3: (22,45) -> 组01 地图10 #0	22	45	0	1	10	0
1	10	0	出入口1: (14,22) -> 组01 地图09 #2	14	22	0	1	9	2
1	11	0	出入口1: (9,5) -> 组01 地图06 #2	9	5	3	1	6	2
1	12	0	出入口1: (2,1) -> 组01 地图05 #6	2	1	0	1	5	6
1	13	0	出入口1: (2,1) -> 组01 地图05 #7	2	1	0	1	5	7
1	14	0	出入口1: (2,1) -> 组01 地图05 #8	2	1	0	1	5	8
1	15	0	出入口1: (2,1) -> 组01 地图05 #9	2	1	0	1	5	9
1	16	0	出入口1: (2,1) -> 组01 地图05 #10	2	1	0	1	5	10
1	17	0	出入口1: (2,1) -> 组01 地图05 #11	2	1	0	1	5	11
1	18	0	出入口1: (4,7) -> 组01 地图06 #3	4	7	3	1	6	3
1	19	0	出入口1: (4,7) -> 组01 地图06 #4	4	7	3	1	6	4
1	20	0	出入口1: (4,7) -> 组01 地图06 #5	4	7	3	1	6	5
1	21	0	出入口1: (4,7) -> 组01 地图06 #6	4	7	3	1	6	6
1	22	0	出入口1: (4,7) -> 组01 地图06 #7	4	7	3	1	6	7
1	23	0	出入口1: (4,7) -> 组01 地图06 #8	4	7	3	1	6	8
1	24	0	出入口1: (4,7) -> 组01 地图08 #1	4	7	3	1	8	1
