group	map	index	label	x	y	elevation	destGroup	destMap	destWarp
0	0	0	出入口1: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	0	1	出入口2: (7,8) -> 组127 地图127 #127	7	8	3	127	127	127
0	1	0	出入口1: (5,8) -> 组127 地图127 #127	5	8	3	127	127	127
0	1	1	出入口2: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	2	0	出入口1: (8,9) -> 组127 地图127 #127	8	9	3	127	127	127
0	2	1	出入口2: (9,9) -> 组127 地图127 #127	9	9	3	127	127	127
0	2	2	出入口3: (11,9) -> 组127 地图127 #127	11	9	3	127	127	127
0	2	3	出入口4: (10,9) -> 组127 地图127 #127	10	9	3	127	127	127
0	3	0	出入口1: (5,8) -> 组127 地图127 #127	5	8	3	127	127	127
0	3	1	出入口2: (6,8) -> 组127 地图127 #127	6	8	3	127	127	127
0	3	2	出入口3: (7,8) -> 组127 地图127 #127	7	8	3	127	127	127
0	3	3	出入口4: (8,8) -> 组127 地图127 #127	8	8	3	127	127	127
0	4	0	出入口1: (7,11) -> 组127 地图127 #127	7	11	3	127	127	127
1	0	0	出入口1: (29,62) -> 组15 地图00 #3	29	62	3	15	0	3
1	0	1	出入口2: (28,62) -> 组15 地图00 #3	28	62	3	15	0	3
1	0	2	出入口3: (5,9) -> 组15 地图03 #1	5	9	3	15	3	1
1	0	3	出入口4: (6,9) -> 组15 地图03 #1	6	9	3	15	3	1
1	0	4	出入口5: (30,62) -> 组15 地图00 #3	30	62	3	15	0	3
1	0	5	出入口6: (4,9) -> 组15 地图03 #1	4	9	3	15	3	1
1	1	0	出入口1: (5,6) -> 组01 地图02 #0	5	6	3	1	2	0
1	1	1	出入口2: (19,14) -> 组01 地图02 #1	19	14	3	1	2	1
1	1	2	出入口3: (31,16) -> 组01 地图02 #2	31	16	3	1	2	2
1	1	3	出入口4: (18,37) -> 组03 地图22 #0	18	37	3	3	22	0
1	2	0	出入口1: (3,3) -> 组01 地图01 #0	3	3	3	1	1	0
1	2	1	出入口2: (25,4) -> 组01 地图01 #1	25	4	3	1	1	1
1	2	2	出入口3: (43,21) -> 组01 地图01 #2	43	21	3	1	1	2
1	2	3	出入口4: (22,18) -> 组01 地图03 #0	22	18	3	1	3	0
1	2	4	出入口5: (17,5) -> 组01 地图03 #1	17	5	3	1	3	1
1	2	5	出入口6: (26,36) -> 组01 地图03 #2	26	36	3	1	3	2
1	2	6	出入口7: (39,4) -> 组01 地图03 #3	39	4	3	1	3	3
1	2	7	出入口8: (45,4) -> 组03 地图22 #1	45	4	3	3	22	1
1	3	0	出入口1: (25,21) -> 组01 地图02 #3	25	21	3	1	2	3
1	3	1	出入口2: (31,11) -> 组01 地图02 #4	31	11	3	1	2	4
1	3	2	出入口3: (17,31) -> 组01 地图02 #5	17	31	3	1	2	5
1	3	3	出入口4: (6,10) -> 组01 地图02 #6	6	10	3	1	2	6
1	4	0	出入口1: (31,5) -> 组03 地图05 #0	31	5	0	3	5	0
1	4	1	出入口2: (32,5) -> 组03 地图05 #1	32	5	3	3	5	1
1	4	2	出入口3: (32,14) -> 组01 地图05 #2	32	14	3	1	5	2
1	4	3	出入口4: (33,15) -> 组01 地图05 #3	33	15	0	1	5	3
1	4	4	出入口5: (33,5) -> 组03 地图05 #2	33	5	0	3	5	2
1	5	0	出入口1: (3,8) -> 组01 地图06 #0	3	8	3	1	6	0
1	5	1	出入口2: (2,18) -> 组01 地图10 #0	2	18	3	1	10	0
1	5	2	出入口3: (19,1) -> 组01 地图04 #2	19	1	3	1	4	2
1	5	3	出入口4: (20,0) -> 组01 地图04 #3	20	0	0	1	4	3
1	5	4	出入口5: (3,20) -> 组01 地图10 #0	3	20	0	1	10	0
1	5	5	出入口6: (28,17) -> 组01 地图08 #0	28	17	3	1	8	0
1	5	6	出入口7: (5,10) -> 组01 地图12 #0	5	10	3	1	12	0
1	5	7	出入口8: (8,10) -> 组01 地图13 #0	8	10	3	1	13	0
1	5	8	出入口9: (11,10) -> 组01 地图14 #0	11	10	3	1	14	0
1	5	9	出入口10: (14,10) -> 组01 地图15 #0	14	10	3	1	15	0
1	5	10	出入口11: (17,10) -> 组01 地图16 #0	17	10	3	1	16	0
1	5	11	出入口12: (23,10) -> 组01 地图17 #0	23	10	3	1	17	0
1	5	12	出入口13: (20,10) -> 组01 地图29 #0	20	10	3	1	29	0
1	6	0	出入口1: (2,2) -> 组01 地图05 #0	2	2	3	1	5	0
1	6	1	出入口2: (3,12) -> 组01 地图07 #1	3	12	3	1	7	1
1	6	2	出入口3: (30,2) -> 组01 地图11 #0	30	2	3	1	11	0
1	6	3	出入口4: (6,10) -> 组01 地图18 #0	6	10	0	1	18	0
1	6	4	出入口5: (10,10) -> 组01 地图19 #0	10	10	0	1	19	0
1	6	5	出入口6: (14,10) -> 组01 地图20 #0	14	10	0	1	20	0
1	6	6	出入口7: (18,10) -> 组01 地图21 #0	18	10	0	1	21	0
1	6	7	出入口8: (22,10) -> 组01 地图22 #0	22	10	0	1	22	0
1	6	8	出入口9: (26,10) -> 组01 地图23 #0	26	10	0	1	23	0
1	7	0	出入口1: (1,4) -> 组01 地图09 #0	1	4	3	1	9	0
1	7	1	出入口2: (18,2) -> 组01 地图06 #1	18	2	3	1	6	1
1	7	2	出入口3: (0,5) -> 组01 地图09 #0	0	5	0	1	9	0
1	8	0	出入口1: (19,3) -> 组01 地图05 #5	19	3	3	1	5	5
1	8	1	出入口2: (2,2) -> 组01 地图24 #0	2	2	0	1	24	0
1	8	2	出入口3: (6,2) -> 组01 地图25 #0	6	2	0	1	25	0
1	8	3	出入口4: (10,2) -> 组01 地图26 #0	10	2	0	1	26	0
1	8	4	出入口5: (14,2) -> 组01 地图27 #0	14	2	0	1	27	0
1	8	5	出入口6: (18,2) -> 组01 地图28 #0	18	2	0	1	28	0
1	9	0	出入口1: (16,8) -> 组01 地图07 #0	16	8	3	1	7	0
1	9	1	出入口2: (16,9) -> 组01 地图07 #0	16	9	3	1	7	0
1	10	0	出入口1: (7,1) -> 组01 地图05 #1	7	1	0	1	5	1
1	11	0	出入口1: (3,7) -> 组01 地图06 #2	3	7	3	1	6	2
1	12	0	出入口1: (2,1) -> 组01 地图05 #6	2	1	0	1	5	6
1	13	0	出入口1: (2,1) -> 组01 地图05 #7	2	1	0	1	5	7
1	14	0	出入口1: (2,1) -> 组01 地图05 #8	2	1	0	1	5	8
1	15	0	出入口1: (2,1) -> 组01 地图05 #9	2	1	0	1	5	9
1	16	0	出入口1: (2,1) -> 组01 地图05 #10	2	1	0	1	5	10
