group	map	index	label	x	y	elevation	dest_group	dest_map	dest_warp
0	0	0	出入口1: (25,12) -> 组01 地图01 #0	25	12	0	1	1	0
0	0	1	出入口2: (26,12) -> 组01 地图01 #1	26	12	0	1	1	1
0	1	0	出入口1: (12,18) -> 组01 地图00 #0	12	18	0	1	0	0
0	1	1	出入口2: (13,18) -> 组01 地图00 #1	13	18	0	1	0	1
0	2	0	出入口1: (15,12) -> 组01 地图03 #0	15	12	0	1	3	0
0	2	1	出入口2: (16,12) -> 组01 地图03 #1	16	12	0	1	3	1
0	3	0	出入口1: (14,23) -> 组01 地图02 #0	14	23	0	1	2	0
0	3	1	出入口2: (15,23) -> 组01 地图02 #1	15	23	0	1	2	1
0	4	0	出入口1: (20,26) -> 组03 地图70 #0	20	26	0	3	70	0
0	4	1	出入口2: (21,26) -> 组03 地图70 #1	21	26	0	3	70	1
0	7	0	出入口1: (6,16) -> 组127 地图127 #127	6	16	3	127	127	127
0	8	0	出入口1: (2,6) -> 组127 地图127 #127	2	6	3	127	127	127
0	8	1	出入口2: (3,6) -> 组127 地图127 #127	3	6	3	127	127	127
0	9	0	出入口1: (16,8) -> 组127 地图127 #127	16	8	3	127	127	127
0	9	1	出入口2: (17,8) -> 组127 地图127 #127	17	8	3	127	127	127
0	10	0	出入口1: (3,7) -> 组53 地图02 #3	3	7	0	53	2	3
0	10	1	出入口2: (13,4) -> 组53 地图02 #4	13	4	0	53	2	4
0	10	2	出入口3: (18,13) -> 组53 地图02 #5	18	13	0	53	2	5
0	10	3	出入口4: (23,7) -> 组53 地图02 #6	23	7	0	53	2	6
0	10	4	出入口5: (30,3) -> 组53 地图02 #7	30	3	0	53	2	7
0	11	0	出入口1: (27,27) -> 组53 地图05 #3	27	27	0	53	5	3
0	11	1	出入口2: (16,15) -> 组53 地图00 #0	16	15	0	53	0	0
0	12	0	出入口1: (2,1) -> 组01 地图05 #6	2	1	0	1	5	6
0	13	0	出入口1: (2,1) -> 组01 地图05 #7	2	1	0	1	5	7
0	14	0	出入口1: (2,1) -> 组01 地图05 #8	2	1	0	1	5	8
0	15	0	出入口1: (2,1) -> 组01 地图05 #9	2	1	0	1	5	9
0	16	0	出入口1: (2,1) -> 组01 地图05 #10	2	1	0	1	5	10
0	17	0	出入口1: (2,1) -> 组01 地图05 #11	2	1	0	1	5	11
0	18	0	出入口1: (4,7) -> 组01 地图06 #3	4	7	3	1	6	3
0	19	0	出入口1: (4,7) -> 组01 地图06 #4	4	7	3	1	6	4
0	20	0	出入口1: (4,7) -> 组01 地图06 #5	4	7	3	1	6	5
0	21	0	出入口1: (4,7) -> 组01 地图06 #6	4	7	3	1	6	6
0	22	0	出入口1: (4,7) -> 组01 地图06 #7	4	7	3	1	6	7
