group	map	name	width	height	warp_count	region	map_type	header_offset	layout_offset	events_offset
0	0	5号道路	30	30	6	105	2	0x9EA4E0	0x7C10D0	0xB862B8
0	1	凯那市	40	60	11	8	2	0x9EA4FC	0x7C23B4	0xB86738
0	2	紫堇市	42	20	7	9	2	0x9EA518	0x7C2A68	0xB86984
0	3	卡那兹市	40	60	12	10	2	0x9EA534	0x7C3D4C	0xB86D40
0	4	茵郁市	47	20	9	11	2	0x9EA550	0x7C44C8	0xB86E8C
0	5	水静市	80	40	14	12	2	0x9EA56C	0x7C5DEC	0xB8723C
0	6	绿岭市	80	40	10	13	2	0x9EA588	0x7C7710	0xB875D8
0	7	琉璃市	60	60	13	14	2	0x9EA5A4	0x7C9354	0xB8784C
0	8	彩幽市	40	80	4	15	2	0x9EA5C0	0x7CAC78	0xB8796C
0	9	未白镇	20	20	3	0	9	0x9EA5DC	0x7CAFBC	0xB87B30
0	10	古辰镇	20	20	4	1	1	0x9EA5F8	0x7CB300	0xB87C40
0	11	武斗镇	20	20	5	2	1	0x9EA614	0x7CB644	0xB87D30
0	12	釜炎镇	20	20	6	3	1	0x9EA630	0x7CB988	0xB87EBC
0	13	秋叶镇	20	20	5	4	1	0x9EA64C	0x7CBCCC	0xB87FB8
0	14	绿荫镇	31	20	7	5	1	0x9EA668	0x7CC1C8	0xB88144
0	15	暮水镇	20	40	6	6	1	0x9EA684	0x7CC82C	0xB8824C
0	16	101号道路	20	20	0	16	0	0x9EA6A0	0x7CCB70	0xB8838C
0	17	102号道路	50	20	0	17	0	0x9EA6BC	0x7CD364	0xB88490
0	18	103号道路	80	22	1	18	0	0x9EA6D8	0x7CE148	0xB88708
0	19	104号道路	40	80	8	19	0	0x9EA6F4	0x7CFA6C	0xB88BDC
0	20	105号道路	40	80	1	20	0	0x9EA710	0x7D1390	0xB88CD0
0	21	106号道路	80	20	1	21	0	0x9EA72C	0x7D2034	0xB88DC4
0	22	107号道路	60	20	0	22	0	0x9EA748	0x7D29B8	0xB88E80
0	23	108号道路	60	20	1	23	0	0x9EA764	0x7D333C	0xB88F50
0	24	109号道路	40	63	1	24	0	0x9EA780	0x7D4710	0xB89284
0	25	110号道路	40	100	6	25	0	0x9EA79C	0x7D6674	0xB8975C
0	26	111号道路	40	140	6	26	0	0x9EA7B8	0x7D9258	0xB89F9C
0	27	112号道路	40	60	6	27	0	0x9EA7D4	0x7DA53C	0xB8A1FC
0	28	113号道路	100	20	3	28	0	0x9EA7F0	0x7DB500	0xB8A538
