# PokeAPI 128bccadf9922328ac0770e07a526a17766ec598; display-hint only; current values remain Profile ROM evidence.
# profile_move_id	power	accuracy	pp	official_move_id	official_name
1	40	100	35	1	拍击
2	50	100	25	2	空手劈
3	15	85	10	3	连环巴掌
4	18	85	15	4	连续拳
5	80	85	20	5	百万吨重拳
6	40	100	20	6	聚宝功
7	75	100	15	7	火焰拳
8	75	100	15	8	冰冻拳
9	75	100	15	9	雷电拳
10	40	100	35	10	抓
11	55	100	30	11	夹住
13	80	100	10	13	旋风刀
14	0	0	20	14	剑舞
16	40	100	35	16	起风
17	60	100	35	17	翅膀攻击
18	0	0	20	18	吹飞
19	90	95	15	19	飞翔
20	15	85	20	20	绑紧
21	80	75	20	21	摔打
22	45	100	25	22	藤鞭
23	65	100	20	23	踩踏
24	30	100	30	24	二连踢
25	120	75	5	25	百万吨重踢
26	100	95	10	26	飞踢
27	60	85	15	27	回旋踢
28	0	100	15	28	泼沙
29	70	100	15	29	头锤
30	65	100	25	30	角撞
31	15	85	20	31	乱击
32	0	30	5	32	角钻
33	40	100	35	33	撞击
34	85	100	15	34	泰山压顶
35	15	90	20	35	紧束
36	90	85	20	36	猛撞
37	120	100	10	37	大闹一番
38	120	100	15	38	舍身冲撞
39	0	100	30	39	摇尾巴
40	15	100	35	40	毒针
41	25	100	20	41	双针
42	25	95	20	42	飞弹针
43	0	100	30	43	瞪眼
44	60	100	25	44	咬住
45	0	100	40	45	叫声
46	0	0	20	46	吼叫
47	0	55	15	47	唱歌
48	0	55	20	48	超音波
49	0	90	20	49	音爆
50	0	100	20	50	定身法
51	40	100	30	51	溶解液
52	40	100	25	52	火花
53	90	100	15	53	喷射火焰
54	0	0	30	54	白雾
55	40	100	25	55	水枪
56	110	80	5	56	水炮
57	90	100	15	57	冲浪
58	90	100	10	58	冰冻光束
59	110	70	5	59	暴风雪
60	65	100	20	60	幻象光线
61	65	100	20	61	泡沫光线
62	65	100	20	62	极光束
63	150	90	5	63	破坏光线
64	35	100	35	64	啄
65	80	100	20	65	啄钻
67	0	100	20	67	踢倒
68	0	100	20	68	双倍奉还
69	0	100	20	69	地球上投
70	80	100	15	70	怪力
71	20	100	25	71	吸取
72	40	100	15	72	超级吸取
73	0	90	10	73	寄生种子
74	0	0	20	74	生长
75	55	95	25	75	飞叶快刀
76	120	100	10	76	日光束
77	0	75	35	77	毒粉
78	0	75	30	78	麻痹粉
79	0	75	15	79	催眠粉
80	120	100	10	80	花瓣舞
81	0	95	40	81	吐丝
82	0	100	10	82	龙之怒
