# PokeAPI 128bccadf9922328ac0770e07a526a17766ec598; display-hint only; current values remain Profile ROM evidence.
# profile_species_id	hp	attack	defense	speed	sp_attack	sp_defense	official_species_id	official_name
1	45	49	49	45	65	65	1	妙蛙种子
2	60	62	63	60	80	80	2	妙蛙草
3	80	82	83	80	100	100	3	妙蛙花
4	39	52	43	65	60	50	4	小火龙
5	58	64	58	80	80	65	5	火恐龙
6	78	84	78	100	109	85	6	喷火龙
7	44	48	65	43	50	64	7	杰尼龟
8	59	63	80	58	65	80	8	卡咪龟
9	79	83	100	78	85	105	9	水箭龟
10	45	30	35	45	20	20	10	绿毛虫
11	50	20	55	30	25	25	11	铁甲蛹
12	60	45	50	70	90	80	12	巴大蝶
13	40	35	30	50	20	20	13	独角虫
14	45	25	50	35	25	25	14	铁壳蛹
15	65	90	40	75	45	80	15	大针蜂
16	40	45	40	56	35	35	16	波波
17	63	60	55	71	50	50	17	比比鸟
18	83	80	75	101	70	70	18	大比鸟
19	30	56	35	72	25	35	19	小拉达
20	55	81	60	97	50	70	20	拉达
21	40	60	30	70	31	31	21	烈雀
22	65	90	65	100	61	61	22	大嘴雀
23	35	60	44	55	40	54	23	阿柏蛇
24	60	95	69	80	65	79	24	阿柏怪
25	35	55	40	90	50	50	25	皮卡丘
26	60	90	55	110	90	80	26	雷丘
27	50	75	85	40	20	30	27	穿山鼠
28	75	100	110	65	45	55	28	穿山王
29	55	47	52	41	40	40	29	尼多兰
30	70	62	67	56	55	55	30	尼多娜
31	90	92	87	76	75	85	31	尼多后
32	46	57	40	50	40	40	32	尼多朗
33	61	72	57	65	55	55	33	尼多力诺
34	81	102	77	85	85	75	34	尼多王
35	70	45	48	35	60	65	35	皮皮
36	95	70	73	60	95	90	36	皮可西
37	38	41	40	65	50	65	37	六尾
38	73	76	75	100	81	100	38	九尾
39	115	45	20	20	45	25	39	胖丁
40	140	70	45	45	85	50	40	胖可丁
41	40	45	35	55	30	40	41	超音蝠
42	75	80	70	90	65	75	42	大嘴蝠
43	45	50	55	30	75	65	43	走路草
44	60	65	70	40	85	75	44	臭臭花
45	75	80	85	50	110	90	45	霸王花
46	35	70	55	25	45	55	46	派拉斯
47	60	95	80	30	60	80	47	派拉斯特
48	60	55	50	45	40	55	48	毛球
49	70	65	60	90	90	75	49	摩鲁蛾
50	10	55	25	95	35	45	50	地鼠
51	35	100	50	120	50	70	51	三地鼠
52	40	45	35	90	40	40	52	喵喵
53	65	70	60	115	65	65	53	猫老大
54	50	52	48	55	65	50	54	可达鸭
55	80	82	78	85	95	80	55	哥达鸭
56	40	80	35	70	35	45	56	猴怪
57	65	105	60	95	60	70	57	火暴猴
58	55	70	45	60	70	50	58	卡蒂狗
59	90	110	80	95	100	80	59	风速狗
60	40	50	40	90	40	40	60	蚊香蝌蚪
61	65	65	65	90	50	50	61	蚊香君
62	90	95	95	70	70	90	62	蚊香泳士
63	25	20	15	90	105	55	63	凯西
64	40	35	30	105	120	70	64	勇基拉
65	55	50	45	120	135	95	65	胡地
66	70	80	50	35	35	35	66	腕力
67	80	100	70	45	50	60	67	豪力
68	90	130	80	55	65	85	68	怪力
69	50	75	35	40	70	30	69	喇叭芽
70	65	90	50	55	85	45	70	口呆花
71	80	105	65	70	100	70	71	大食花
72	40	40	35	70	50	100	72	玛瑙水母
73	80	70	65	100	80	120	73	毒刺水母
74	40	80	100	20	30	30	74	小拳石
75	55	95	115	35	45	45	75	隆隆石
76	80	120	130	45	55	65	76	隆隆岩
77	50	85	55	90	65	65	77	小火马
78	65	100	70	105	80	80	78	烈焰马
79	90	65	65	15	40	40	79	呆呆兽
80	95	75	110	30	100	80	80	呆壳兽
81	25	35	70	45	95	55	81	小磁怪
